"년월","대여소명","대여건수","반납건수"
"202307","2310. 청담동 맥도날드 옆(위치)","1","0"
"202307","2311. 학동로 래미안 아파트 앞","4","0"
"202307","2312. 청담역 13번 출구 앞","2","1"
"202307","2313. 금원빌딩 앞","1","4"
"202307","2314. 청담나들목입구","4","9"
"202307","2315. 봉은사역 5번출구 옆","11","8"
"202307","2317. 삼성도로공원","5","7"
"202307","2318. 삼성중앙역4번출구(문화센터더 리빌)","4","1"
"202307","2319. 포스코사거리 서측(수협 삼성동 지점)","5","0"
"202307","2320. 도곡역 대치지구대 방향","0","1"
"202307","2324. 천주교 대치 2동 교회 옆","0","1"
"202307","2326. 대치동 삼성로","0","1"
"202307","2327. 뱅뱅사거리 랜드마크타워 앞","4","1"
"202307","2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞","1","1"
"202307","2329. 르네상스호텔사거리 역삼지하보도 2번출구","3","2"
"202307","2332. 선릉역3번출구","4","5"
"202307","2333. 양재역 3번출구 주변","1","0"
"202307","2335. 3호선 매봉역 3번출구앞","0","1"
"202307","2340. 삼호물산버스정류장(23370) 옆","0","1"
"202307","2342. 대청역 1번출구  뒤","6","0"
"202307","2344. 리엔파크 2단지 앞","2","2"
"202307","2347. 두산건설 본사","2","0"
"202307","2348. 포스코사거리(기업은행)","4","1"
"202307","2349. 역삼빌딩 앞(하나은행 옆)","4","1"
"202307","235. 신길동 우리은행 옆","2","0"
"202307","2353. 강남구청역 2번출구 뒤","1","4"
"202307","2354. 청담역 2번출구","0","1"
"202307","2356. 강남구청","3","4"
"202307","2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞)","2","1"
"202307","2359. 국립국악중,고교 정문 맞은편","1","0"
"202307","236. 문래동자이아파트 앞","2","3"
"202307","2362. 신사동 가로수길 입구","14","15"
"202307","2363. 강남 을지병원 교차로","3","2"
"202307","2364. 도산공원교차로","2","1"
"202307","2365. K+ 타워 앞","3","5"
"202307","2369. KT선릉타워","3","8"
"202307","237. 보라매 두산위브 건너편","2","0"
"202307","2372. 대치역 사거리","1","0"
"202307","2373. 개포동역 사거리","1","1"
"202307","2377. 수서역 5번출구","0","1"
"202307","2380. 삼성동베이직하우스앞","1","0"
"202307","2381. 언주역 6번출구앞","0","1"
"202307","2382. 역삼동 sk뷰 501동앞","2","2"
"202307","2385. 학동역","0","1"
"202307","2386. 크린랩 본사","1","1"
"202307","2387. 래미안강남힐즈 사거리","0","1"
"202307","2390. 구룡마을 입구 (래미안블레스티지 아파트)","2","0"
"202307","2394. 개포래미안포레스트아파트 107동 앞","1","1"
"202307","240. 문래역 4번출구 앞","2","4"
"202307","2404. 대모산입구역 4번 출구 앞","1","5"
"202307","2405. 청담공원앞 교차로","1","3"
"202307","2406. 논현동 광명빌딩 앞","1","0"
"202307","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)","4","12"
"202307","2410. 포스코피앤에스타워 (역삼역 3번출구 부근)","6","4"
"202307","2412. 일원1동 주민센터","4","15"
"202307","2413.도곡역 1번 출구","2","1"
"202307","2418.봉은사역 7번 출구 ","7","12"
"202307","2419.봉은사역 1,2번 출구 ","7","16"
"202307","2421. 신논현역 4번출구","3","2"
"202307","2423.영희초교 사거리(래미안개포루체하임)","5","1"
"202307","2425.세곡동 사거리(대왕초등학교 정류장)","0","1"
"202307","2429.압구정로데오역 6번출구","7","22"
"202307","243. 이앤씨드림타워 앞","2","1"
"202307","2430.강남파이낸스센터앞(역삼역2번출구)","2","2"
"202307","247. 당산역 10번출구 앞","5","6"
"202307","248. 초원아파트 앞","17","24"
"202307","249. 여의도중학교 옆","81","60"
"202307","2503. 반포1동 서초빌딩 앞","2","0"
"202307","2504. 신사역 4번출구 뒤","7","4"
"202307","2505. 우성아파트사거리 (기업은행앞)","4","0"
"202307","2509. 심산기념문화센터","3","1"
"202307","251. 서울지방병무청 버스정류장","2","0"
"202307","2511. 이수역 6번출구 앞","0","1"
"202307","2515.서초초등학교 후문","1","3"
"202307","2520.서초1교 (진흥아파트 방면)","5","2"
"202307","2521.서초 크로바타워 앞","1","2"
"202307","2523.뉴코아 킴스클럽 앞","7","1"
"202307","2524.반포쇼핑타운 8동 앞","2","6"
"202307","2525.반포쇼핑타운 2동 앞","42","70"
"202307","2526.반포경남쇼핑 앞","1","1"
"202307","2527.반포중학교 앞(세화여고 맞은편)","7","14"
"202307","2530.삼호3차아파트 앞","1","1"
"202307","2531.멤피스아파트 앞","0","1"
"202307","2535.신반포역 3번출구 뒤","3","2"
"202307","2538.사평리근린공원","8","12"
"202307","2540.반포천 앞","1","0"
"202307","2542.신논현타워 앞","5","2"
"202307","2545.국립중앙도서관(국제회의장옆)","1","1"
"202307","2547. 반포래미안 리오센트","2","0"
"202307","2548.반포1동 자율방범초소 옆","2","0"
"202307","259. 대방역6번출구","3","3"
"202307","260. 여의도 마리나선착장 앞","7","8"
"202307","2601. 석촌호수 아뜰리에","4","3"
"202307","2605. 복정역 1번 출구 앞","0","1"
"202307","2608. 송파구청","28","14"
"202307","2613. 잠실나들목","6","6"
"202307","2618. 삼전역 1번출구","0","2"
"202307","2619. 석촌고분역 4번출구","0","2"
"202307","262. 영문초등학교 사거리","2","1"
"202307","2620. 송파나루역 4번 출구옆","4","3"
"202307","2621. 한성백제역 2번 출구","6","5"
"202307","2622. 올림픽공원역 3번출구","22","27"
"202307","2623.석촌동 주민센터","2","1"
"202307","2628.문정역 1번출구","0","2"
"202307","263. 근로자회관 사거리","0","2"
"202307","2632.석촌고분역 2번 출구","3","2"
"202307","2633.송파학사 옆","1","2"
"202307","2635.잠실새내역 1번출구","1","0"
"202307","2637. 아시아지하보도 14번 출구","3","2"
"202307","2639.석촌역 8번출구","5","1"
"202307","2641.송파역 4번출구","1","0"
"202307","2643.풍납중학교 측면","0","2"
"202307","2644. 성내5교","0","1"
"202307","2645.잠실나들목2(엘스아파트136동)","10","1"
"202307","2646.레이크펠리스101동앞","0","3"
"202307","2647.잠실 자전거 수리센터 앞","22","13"
"202307","2653.올림픽공원사거리(선수촌아파트)","0","1"
"202307","2654.올림픽선수촌아파트 136동 앞","1","0"
"202307","267. 삼성화재 사옥 옆","10","11"
"202307","268. 그랜드컨벤션센터 앞","1","3"
"202307","270. 증권거래소후문교차로","3","1"
"202307","2701. 마곡나루역 5번출구 뒤편","1","0"
"202307","2704.홈플러스(강서점)","1","0"
"202307","2708.강서한강자이타워 앞","3","3"
"202307","2709.강변아파트 310동 앞","5","4"
"202307","271. 샛강생태공원방문자센터 앞","1","2"
"202307","2710.라이품 공영주차장 앞","0","2"
"202307","2711.가로공원공영주차장 1번 출구","0","1"
"202307","2715.마곡나루역 2번 출구 ","13","12"
"202307","2717.LG유플러스 마곡사옥","2","3"
"202307","2719.마곡문화공원","4","1"
"202307","272. 당산육갑문","25","32"
"202307","2720.힐스테이트에코","2","1"
"202307","2721.등촌1-10단지 교차로","1","0"
"202307","2723.마곡 필네이처","1","1"
"202307","2724.(재)FITI시험연구원","2","0"
"202307","2725.서울식물원 식물문화센터","3","0"
"202307","2728.마곡나루역 3번 출구","8","10"
"202307","2733.마곡13단지 정문 앞","2","2"
"202307","2739.수명산파크1단지교차로","2","0"
"202307","2744.강서세무서 앞","0","1"
"202307","276. 영등포로터리2","1","7"
"202307","278. 쌍용플레티넘오피스텔","2","1"
"202307","279. 영등포 푸르지오 아파트 B","1","0"
"202307","280. 양평동6차현대아파트 앞","1","2"
