사고ID,연월,연도,월,자치구,주야,사고내용,사고유형,사고유형_대분류,사고유형_소분류,법규위반,노면상태,기상상태,도로형태,도로형태_대분류,도로형태_소분류,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해여부,PM_피해여부,PM_역할,가해운전자_차종,가해운전자_성별,가해운전자_연령대,가해운전자_상해정도,피해운전자_차종,피해운전자_성별,피해운전자_연령대,피해운전자_상해정도,원본파일
2019108578,2019-07,2019,7,강남구,주간,경상사고,차대차 - 충돌,차대차,충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),여,20세 이하,경상,승용,여,31-40세,상해없음,2019.xlsx
2019114982,2019-07,2019,7,강남구,주간,경상사고,차대사람 - 기타,차대사람,기타,안전운전불이행,건조,맑음,기타 - 기타,기타,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,51-60세,경상,2019.xlsx
2019116789,2019-07,2019,7,강남구,주간,경상사고,차대사람 - 기타,차대사람,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,20세 이하,상해없음,보행자,남,51-60세,경상,2019.xlsx
2019118114,2019-07,2019,7,강남구,야간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,1,0,1,1,0,N,Y,피해,승용,남,51-60세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019118642,2019-07,2019,7,강남구,야간,부상신고사고,차대사람 - 기타,차대사람,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),남,31-40세,상해없음,보행자,여,21-30세,부상신고,2019.xlsx
2019120151,2019-07,2019,7,강남구,야간,중상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,1,0,0,1,1,1,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),여,21-30세,중상,2019.xlsx
2019123519,2019-07,2019,7,강남구,주간,중상사고,차대차 - 기타,차대차,기타,기타,젖음/습기,비,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,N,Y,피해,승용,남,65세 이상,상해없음,개인형이동수단(PM),남,31-40세,중상,2019.xlsx
2019126268,2019-07,2019,7,강남구,주간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,남,51-60세,상해없음,개인형이동수단(PM),여,21-30세,경상,2019.xlsx
2019113832,2019-07,2019,7,금천구,야간,중상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),남,51-60세,중상,자전거,남,13-20세,상해없음,2019.xlsx
2019122041,2019-07,2019,7,동대문구,주간,중상사고,차대사람 - 횡단중,차대사람,횡단중,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,여,51-60세,중상,2019.xlsx
2019121910,2019-07,2019,7,마포구,야간,경상사고,차대차 - 충돌,차대차,충돌,신호위반,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,N,Y,피해,승용,여,51-60세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
