'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','306',' 광화문역 7번출구 앞','일일(회원)','F','50대',1,43.5,0.39,1690,12
'2018-05','1959',' 구로구의회 앞','일일(회원)','F','50대',2,301.67,3.58,15450,98
'2018-05','1963',' 디지털단지오거리','일일(회원)','F','50대',1,139.42,1.41,6070,114
'2018-05','1964',' 원메디타운 앞','일일(회원)','F','50대',4,592.4,6.3,27190,168
'2018-05','1965',' 삼환로즈빌아파트 105동 옆','일일(회원)','F','50대',2,346.18,3.33,14320,182
'2018-05','1966',' 한마을아파트 정문상가','일일(회원)','F','50대',2,567.52,4.75,20500,105
'2018-05','307',' 서울역사박물관 앞','일일(회원)','F','50대',1,32.6,0.45,1960,28
'2018-05','1968',' 동인오피스텔 건너편 소공원','일일(회원)','F','50대',1,58.37,0.51,2200,19
'2018-05','1969',' 궁동생태공원','일일(회원)','F','50대',1,67.64,0.51,2190,46
'2018-05','1973',' 오리로와 서해안도로 교차로 앞','일일(회원)','F','50대',1,540.3,5.28,22740,210
'2018-05','1975',' 대림역 1번 출입구 밑','일일(회원)','F','50대',3,726.39,7.44,32070,232
'2018-05','1976',' 남구로역 5번 출입구 앞','일일(회원)','F','50대',2,362.99,2.97,12800,159
'2018-05','1977',' 천왕역 1번 출입구 앞','일일(회원)','F','50대',5,1239.7,10.13,43670,308
'2018-05','2381',' 언주역 6번출구앞','일일(회원)','F','50대',2,147.97,1.08,4650,40
'2018-05','2383',' 보금자리정원','일일(회원)','F','50대',3,421.41,4.84,20840,246
'2018-05','1158',' 가양역 8번출구','일일(회원)','F','50대',3,549.19,5.55,23980,170
'2018-05','1160',' 양천향교역 7번출구앞','일일(회원)','F','50대',2,598.14,4.13,17770,106
'2018-05','1162',' 공항초등학교건너편','일일(회원)','F','50대',1,47.82,0.37,1610,18
'2018-05','2164',' 관악우체국','일일(회원)','F','50대',1,77.82,0.67,2890,57
'2018-05','310',' 청계광장 옆','일일(회원)','F','50대',1,56.45,0.5,2160,15
'2018-05','2167',' 낙성대역 1번출구','일일(회원)','F','50대',1,159.16,1.46,6280,65
'2018-05','3518',' 군자역 7번출구뒤','일일(회원)','F','50대',3,186.4,1.75,7530,50
'2018-05','2170',' 조원동서울본병원','일일(회원)','F','50대',1,4.21,0.04,180,4
'2018-05','3517',' 용마사거리','일일(회원)','F','50대',5,450.93,4.48,19300,179
'2018-05','2173',' 당곡사거리','일일(회원)','F','50대',3,739.85,6.19,26690,185
'2018-05','2174',' 삼성디지털프라자관악점','일일(회원)','F','50대',1,31.32,0.26,1130,5
'2018-05','311',' 서울광장 옆','일일(회원)','F','50대',1,66.78,0.58,2480,39
'2018-05','1983',' 구로동롯데아파트','일일(회원)','F','50대',2,149.92,1.5,6480,53
'2018-05','1985',' 구로도서관','일일(회원)','F','50대',1,89.35,0.9,3890,45
'2018-05','1661',' 당현천근린공원','일일(회원)','F','50대',1,224.2,2.02,8710,60
'2018-05','1662',' 노원역7번출구','일일(회원)','F','50대',2,334.01,4.04,17420,177
'2018-05','312',' 시청역 1번출구 뒤','일일(회원)','F','50대',1,121.73,1.35,5800,52
'2018-05','1663',' 동해문화예술관앞','일일(회원)','F','50대',1,160.88,1.45,6250,46
'2018-05','1664',' 노해근린공원내','일일(회원)','F','50대',2,135.33,1.21,5230,37
'2018-05','1668',' 중계역 6번출구','일일(회원)','F','50대',2,361.14,2.98,12810,103
'2018-05','1669',' 중계역 3번출구','일일(회원)','F','50대',4,614.66,4.62,19900,276
'2018-05','1670',' 노원경찰서교차로','일일(회원)','F','50대',4,712.75,6.42,27690,171
'2018-05','1671',' 인덕대학교','일일(회원)','F','50대',2,343.02,4.23,18240,60
'2018-05','1672',' 상계동수락리버시티','일일(회원)','F','50대',4,676.87,7.34,31600,287
'2018-05','1674',' 서울북부고용센터앞','일일(회원)','F','50대',8,2759.19,24.71,106500,319
'2018-05','1722',' 창동청소년수련관','일일(회원)','F','50대',2,585.33,5.27,22740,108
'2018-05','1725',' 창1동주민센터','일일(회원)','F','50대',3,651.54,6.13,26470,151
'2018-05','1726',' 삼익세라믹아파트교차로','일일(회원)','F','50대',3,419.93,3.02,13040,182
'2018-05','646',' 장한평역 1번출구 (국민은행앞)','일일(회원)','F','50대',4,1063.2,9.93,42800,253
'2018-05','314',' 국립현대미술관','일일(회원)','F','50대',1,6.93,0.08,330,15
'2018-05','650',' 중랑교사거리','일일(회원)','F','50대',6,824.48,7.61,32820,358
'2018-05','651',' 우리은행청량리지점앞','일일(회원)','F','50대',1,212.61,1.92,8260,66
'2018-05','2281',' 연세사랑병원신관앞','일일(회원)','F','50대',4,1348.54,11.26,48540,337
'2018-05','2282',' 방배래미안아트힐 101동앞','일일(회원)','F','50대',2,233.98,2.11,9090,68
'2018-05','315',' 신한은행 안국역지점 옆','일일(회원)','F','50대',1,113.25,0.84,3620,47
'2018-05','2290',' 서래마을파리15구공원앞','일일(회원)','F','50대',1,189.45,1.71,7360,53
'2018-05','1354',' 고려대학교 2번출구','일일(회원)','F','50대',3,154.38,1.35,5830,45
'2018-05','274',' 영등포역지하쇼핑센타 5번출구','일일(회원)','F','50대',4,1735.39,16.26,70070,286
'2018-05','316',' 종각역 1번출구 앞','일일(회원)','F','50대',1,132.05,1.19,5130,48
'2018-05','275',' 신동아아파트','일일(회원)','F','50대',1,158.21,1.05,4540,22
'2018-05','276',' SK 영등포주유소','일일(회원)','F','50대',2,295.97,2.97,12800,105
'2018-05','278',' 쌍용플레티넘오피스텔','일일(회원)','F','50대',1,256.3,3.26,14070,55
'2018-05','828',' 숙대입구역 8번','일일(회원)','F','50대',3,143.29,1.2,5180,40
'2018-05','831',' 이태원관광특구입구','일일(회원)','F','50대',1,101.57,1.19,5130,40
'2018-05','954',' 은평뉴타운구파발9단지','일일(회원)','F','50대',3,593.03,5.99,25820,155
'2018-05','956',' 응암시장교차로','일일(회원)','F','50대',3,1672.29,16.62,71640,136
'2018-05','1449',' 상봉역 1번출구','일일(회원)','F','50대',1,41.7,0.38,1620,23
'2018-05','1450',' 화랑대역 7번출구','일일(회원)','F','50대',3,671.75,6.87,29590,216
'2018-05','1451',' 중랑세무서','일일(회원)','F','50대',3,449.62,2.95,12700,156
'2018-05','3519',' 용답역 1번 출구','일일(회원)','F','50대',3,812.16,7.65,32930,263
'2018-05','2171',' 서울대입구역 5번출구','일일(회원)','F','50대',1,81.85,0.74,3180,31
'2018-05','1165',' 마곡중학교 후문','일일(회원)','F','50대',2,106.44,1.1,4730,48
'2018-05','832',' 이촌1동 주민센터 뒤','일일(회원)','F','50대',4,1701.86,16.91,72840,114
'2018-05','834',' 효창공원앞역 3번출구 뒤','일일(회원)','F','50대',2,126.12,1.48,6370,134
'2018-05','835',' 남영역 건너편','일일(회원)','F','50대',3,463.32,3.77,16250,115
'2018-05','836',' 현대자동차서비스 앞','일일(회원)','F','50대',2,427.3,3.95,17010,123
'2018-05','837',' 한남나들목 입구','일일(회원)','F','50대',4,247.87,2.77,11930,180
'2018-05','1355',' 보문2교','일일(회원)','F','50대',1,1187.64,10.7,46140,14
'2018-05','1166',' 강서구립등빛도서관','일일(회원)','F','50대',1,26.57,0.28,1220,0
'2018-05','1167',' 마곡수명산파크3단지 교차로','일일(회원)','F','50대',1,133.47,1.24,5350,46
'2018-05','279',' 영등포 푸르지오 아파트','일일(회원)','F','50대',5,915.99,9.08,39150,302
'2018-05','2063',' 대방역 4번출구','일일(회원)','F','50대',1,241.24,1.81,7810,52
'2018-05','2065',' 서울시여성가족재단','일일(회원)','F','50대',1,147.31,1.44,6200,48
