연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,1619,131,416250.0,2580,노원구
2018-01,162,295,774910.0,2680,서대문구
2018-01,1620,78,233540.0,1281,노원구
2018-01,1623,212,611980.0,3800,미상
2018-01,1625,198,732390.0,4279,노원구
2018-01,1627,37,58230.0,740,노원구
2018-01,1628,45,204450.0,924,노원구
2018-01,163,91,340770.0,2294,서대문구
2018-01,1630,21,50880.0,296,노원구
2018-01,1634,67,267630.0,1305,노원구
2018-01,1635,37,192790.0,1159,노원구
2018-01,1636,190,719930.0,3851,노원구
2018-01,1637,329,1237750.0,6910,노원구
2018-01,1639,31,139500.0,715,노원구
2018-01,164,120,353540.0,1930,서대문구
2018-01,1640,79,444170.0,2116,노원구
2018-01,1641,47,330680.0,1343,노원구
2018-01,1642,100,364170.0,2436,노원구
2018-01,1643,68,328050.0,1935,노원구
2018-01,1646,27,127260.0,695,노원구
2018-01,165,190,493210.0,2294,서대문구
2018-01,1650,109,357410.0,2399,노원구
2018-01,1651,31,122240.0,757,노원구
2018-01,1652,10,62000.0,372,노원구
2018-01,1654,20,58180.0,311,노원구
2018-01,1655,100,250790.0,1824,노원구
2018-01,1656,75,176220.0,1219,노원구
2018-01,1657,85,359830.0,2053,노원구
2018-01,1659,47,108640.0,798,노원구
2018-01,166,316,992490.0,5694,서대문구
2018-01,1660,24,60150.0,485,노원구
2018-01,167,163,540510.0,2454,서대문구
2018-01,168,116,359370.0,1560,미상
2018-01,169,103,257790.0,2008,서대문구
2018-01,170,235,626660.0,3868,서대문구
2018-01,1702,43,210590.0,1256,도봉구
2018-01,1703,23,168990.0,827,도봉구
2018-01,1705,67,264850.0,1572,도봉구
2018-01,1706,71,234790.0,1305,도봉구
2018-01,1707,53,200740.0,1559,도봉구
2018-01,1708,92,337950.0,1990,도봉구
2018-01,1709,113,360900.0,2153,도봉구
2018-01,171,147,512480.0,2371,서대문구
2018-01,1712,81,313850.0,1689,미상
2018-01,1713,20,100190.0,534,도봉구
2018-01,1714,32,90220.0,542,도봉구
