'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-02','359',' 원남동사거리','일일(회원)','M','30대',4,207.11,1.83,7850,81
'2018-02','361',' 동묘앞역 1번출구 뒤','일일(회원)','M','30대',4,269.16,2,8590,59
'2018-02','362',' 청계8가 사거리','일일(회원)','M','30대',6,2071.75,16.27,70120,85
'2018-02','363',' 신설동역 11번출구 뒤','일일(회원)','M','30대',3,621.99,5.69,24520,182
'2018-02','364',' 창신역 1번출구 앞','일일(회원)','M','30대',1,208.77,1.53,6590,32
'2018-02','113',' 홍대입구역 2번출구 앞','일일(회원)','M','30대',11,1615.83,12.52,54020,218
'2018-02','368',' SK 서린빌딩 앞','일일(회원)','M','30대',4,598.85,4.24,18290,101
'2018-02','369',' 광화문 시민열린마당','일일(회원)','M','30대',6,1549.3,12.45,53660,147
'2018-02','348',' 독립문역 사거리','일일(회원)','M','30대',3,2095.03,14.05,60570,111
'2018-02','370',' 시청역(2호선) 9번출구 뒤','일일(회원)','M','30대',4,219.28,1.68,7280,50
'2018-02','371',' 동대입구역 6번출구 뒤','일일(회원)','M','30대',4,392.44,2.81,12110,120
'2018-02','374',' 청구역 2번출구 앞','일일(회원)','M','30대',3,251.49,1.97,8450,70
'2018-02','118',' 광흥창역 2번출구 앞','일일(회원)','M','30대',10,1092.01,8.24,35460,315
'2018-02','378',' 청계7가 사거리','일일(회원)','M','30대',7,731.13,5.96,25670,227
'2018-02','380',' CJ제일제당 앞','일일(회원)','M','30대',2,146.25,1.15,4960,37
'2018-02','382',' 약수역 10번출구 앞','일일(회원)','M','30대',1,116.19,0.76,3260,24
'2018-02','383',' 신당역 12번 출구 뒤','일일(회원)','M','30대',2,142.42,1.2,5200,39
'2018-02','384',' 종로학원본원 ','일일(회원)','M','30대',2,186.99,1.42,6120,74
'2018-02','114',' 홍대입구역 8번출구 앞','일일(회원)','M','30대',5,628.98,5.08,21880,98
'2018-02','142',' 아현역 4번출구 앞','일일(회원)','M','30대',1,50.73,0.42,1830,5
'2018-02','143',' 공덕역 2번출구','일일(회원)','M','30대',2,717.11,4.62,19900,92
